,Ngay,Gia_dieu_chinh,Gia_dong_cua,Gia_mo_cua,Gia_cao_nhat,Gia_thap_nhat
0,26/05/2023,83.10 ,83.10 ,83.10 ,83.40 ,82.30 
1,25/05/2023,83.20 ,83.20 ,81.20 ,83.40 ,81.00 
2,24/05/2023,81.30 ,81.30 ,82.00 ,82.10 ,81.10 
3,23/05/2023,82.00 ,82.00 ,82.50 ,82.50 ,81.40 
4,22/05/2023,82.50 ,82.50 ,82.80 ,82.80 ,82.00 
5,19/05/2023,82.80 ,82.80 ,83.00 ,83.30 ,81.80 
6,18/05/2023,82.90 ,82.90 ,81.80 ,83.00 ,81.40 
7,17/05/2023,81.50 ,81.50 ,81.90 ,82.70 ,81.10 
8,16/05/2023,81.50 ,81.50 ,81.00 ,81.70 ,80.80 
9,15/05/2023,81.00 ,81.00 ,81.40 ,81.80 ,80.80 
10,12/05/2023,80.50 ,80.50 ,79.30 ,80.60 ,78.80 
11,11/05/2023,79.10 ,79.10 ,79.10 ,79.60 ,79.00 
12,10/05/2023,79.00 ,79.00 ,79.00 ,79.60 ,79.00 
13,09/05/2023,78.90 ,78.90 ,78.60 ,79.80 ,78.60 
14,08/05/2023,78.50 ,78.50 ,78.50 ,78.90 ,78.40 
15,05/05/2023,78.40 ,78.40 ,78.60 ,78.60 ,78.20 
16,04/05/2023,78.50 ,78.50 ,77.80 ,78.70 ,77.60 
17,28/04/2023,77.50 ,77.50 ,78.80 ,78.80 ,77.50 
18,27/04/2023,78.30 ,78.30 ,78.10 ,78.80 ,78.10 
19,26/04/2023,78.30 ,78.30 ,78.10 ,78.40 ,77.60 
20,25/04/2023,78.40 ,78.40 ,79.10 ,79.30 ,78.30 
21,24/04/2023,79.10 ,79.10 ,79.50 ,80.60 ,79.00 
22,21/04/2023,79.30 ,79.30 ,80.00 ,80.00 ,79.30 
23,20/04/2023,79.40 ,79.40 ,79.80 ,79.80 ,79.20 
24,19/04/2023,79.30 ,79.30 ,79.80 ,79.80 ,79.30 
25,18/04/2023,79.40 ,79.40 ,79.60 ,80.00 ,79.20 
26,17/04/2023,79.60 ,79.60 ,79.60 ,79.70 ,79.00 
27,14/04/2023,79.60 ,79.60 ,79.90 ,80.10 ,79.30 
28,13/04/2023,79.60 ,79.60 ,80.30 ,80.40 ,79.30 
29,12/04/2023,80.30 ,80.30 ,80.30 ,80.50 ,79.90 
30,11/04/2023,80.30 ,80.30 ,80.20 ,80.50 ,80.10 
31,10/04/2023,80.30 ,80.30 ,81.00 ,81.00 ,80.10 
32,07/04/2023,80.50 ,80.50 ,80.20 ,80.70 ,80.00 
33,06/04/2023,80.30 ,80.30 ,80.70 ,81.50 ,80.30 
34,05/04/2023,80.60 ,80.60 ,80.50 ,80.60 ,79.70 
